,Time,Survival
317,158.5,0.8746244665837631
318,159.0,0.8746244665837631
319,159.5,0.8743677880196287
320,160.0,0.8741104086748206
321,160.5,0.8741104086748206
322,161.0,0.8738508053493181
323,161.5,0.8738508053493181
324,162.0,0.8738508053493181
325,162.5,0.8735882270739185
326,163.0,0.8733251870122789
327,163.5,0.8733251870122789
328,164.0,0.8733251870122789
329,164.5,0.8733251870122789
330,165.0,0.8725195691313025
331,165.5,0.8725195691313025
332,166.0,0.8725195691313025
333,166.5,0.8725195691313025
334,167.0,0.8725195691313025
335,167.5,0.8725195691313025
336,168.0,0.872242805622157
337,168.5,0.8719644911987404
338,169.0,0.871684397753707
339,169.5,0.871684397753707
340,170.0,0.8714019075368119
341,170.5,0.8714019075368119
342,171.0,0.8714019075368119
343,171.5,0.8714019075368119
344,172.0,0.8711145536029784
345,172.5,0.8708258397601498
346,173.0,0.8705346253871806
347,173.5,0.8705346253871806
348,174.0,0.8702412845213984
349,174.5,0.8702412845213984
350,175.0,0.8696504747249981
351,175.5,0.8693537712830931
352,176.0,0.8690561121689091
353,176.5,0.868756985791833
354,177.0,0.8684570262613884
355,177.5,0.8684570262613884
356,178.0,0.8681553285748629
357,178.5,0.8681553285748629
358,179.0,0.867851766891702
359,179.5,0.867851766891702
360,180.0,0.867851766891702
361,180.5,0.867851766891702
362,181.0,0.867851766891702
363,181.5,0.867851766891702
364,182.0,0.867231883464784
365,182.5,0.867231883464784
366,183.0,0.867231883464784
367,183.5,0.8669193112462711
368,184.0,0.866605946404745
369,184.5,0.866605946404745
370,185.0,0.8662900921023826
371,185.5,0.8659730427067288
372,186.0,0.865653311619409
373,186.5,0.865653311619409
374,187.0,0.865653311619409
375,187.5,0.865653311619409
376,188.0,0.865653311619409
377,188.5,0.865653311619409
378,189.0,0.8653260784978216
379,189.5,0.8653260784978216
380,190.0,0.8649943659008397
381,190.5,0.8649943659008397
382,191.0,0.8636403264113653
383,191.5,0.8636403264113653
384,192.0,0.8636403264113653
385,192.5,0.8636403264113653
386,193.0,0.8636403264113653
387,193.5,0.8636403264113653
388,194.0,0.8636403264113653
389,194.5,0.8636403264113653
390,195.0,0.8636403264113653
391,195.5,0.8632866554106468
392,196.0,0.8632866554106468
393,196.5,0.8632866554106468
394,197.0,0.8632866554106468
395,197.5,0.8632866554106468
396,198.0,0.8629253350493359
397,198.5,0.8629253350493359
398,199.0,0.8629253350493359
399,199.5,0.8629253350493359
400,200.0,0.8625618536858639
401,200.5,0.8621979546839555
402,201.0,0.8621979546839555
403,201.5,0.8621979546839555
